Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,42,"['Herschel', 'Walker', 'Put', 'Donor', ""'s"", '$', '535,200', 'Company', ':', 'Report', 'billionaire', 'donor', ',', 'friend', 'Walker', ""'s"", ',', 'thought', 'money', 'going', 'Walker', ""'s"", 'senate', 'campaign', ',', 'per', 'Daily', 'Beast', 'report', '.']",30,"['in', 'His', 'Own', 'The', 'who', 'was', 'a', 'of', 'the', 'was', 'to', 'a']",12,0.29,
Sentence 2,38,"['Jump', 'Herschel', 'Walker', ',', 'former', 'NFL', 'running', 'back', 'ran', 'failed', 'senate', 'campaign', 'Georgia', ',', 'received', '$', '535,200', 'political', 'contributions', 'wired', 'personal', 'company', ',', 'Daily', 'Beast', 'reported', '.']",27,"['to', 'the', 'who', 'a', 'in', 'in', 'that', 'were', 'to', 'his', 'The']",11,0.29,
Sentence 3,24,"['Walker', 'received', 'sum', 'meant', '2022', 'senate', 'campaign', 'friend', ',', 'billionaire', 'Dennis', 'Washington', ',', 'outlet', 'reported', 'Wednesday', '.']",17,"['the', 'for', 'his', 'from', 'his', 'the', 'on']",7,0.29,
Sentence 4,29,"['Washington', 'wired', 'money', 'Walker', 'thinking', 'political', 'contribution', ',', 'reported', 'Daily', 'Beast', ',', 'citing', 'emails', 'Washington', ""'s"", 'staff', 'Walker', ""'s"", 'campaign', '.']",21,"['the', 'to', 'it', 'was', 'a', 'The', 'between', 'and']",8,0.28,
Sentence 5,31,"['cash', 'deposited', 'account', 'HR', 'Talent', ',', 'firm', 'owned', 'Walker', 'never', 'disclosed', 'financial', 'statements', ',', 'Daily', 'Beast', 'reported', '.']",18,"['But', 'the', 'was', 'in', 'an', 'for', 'a', 'by', 'that', 'was', 'in', 'his', 'The']",13,0.42,
Sentence 6,25,"['2014', ',', 'Walker', 'ran', 'two', 'talent', 'shows', 'rural', 'Georgia', 'called', '``', 'Herschel', ""'s"", 'Raw', 'Talent', ',', ""''"", 'New', 'York', 'Times', 'reported', '.']",22,"['In', 'in', 'The']",3,0.12,
Sentence 7,19,"['$', '535,200', 'sitting', 'HR', 'Talent', ',', 'legally', 'unusable', 'Walker', ""'s"", 'campaign', '.']",12,"['Because', 'the', 'was', 'in', 'they', 'were', 'for']",7,0.37,
Sentence 8,32,"['Washington', ""'s"", 'staff', 'learned', ',', 'contacted', 'Walker', 'asking', 'whether', 'funds', 'could', 'sent', 'super', 'PAC', 'supporting', 'then-GOP', 'candidate', ',', 'Daily', 'Beast', 'reported', '.']",22,"['When', 'of', 'this', 'they', 'the', 'be', 'to', 'a', 'the', 'The']",10,0.31,
Sentence 9,47,"['``', 'need', 'assistance', 'get', 'prior', 'contributions', 'made', 'HR', 'Talent', 'account', 'March', 'corrected', ',', ""''"", 'Tim', 'McHugh', ',', 'executive', 'vice', 'president', 'Washington', 'Companies', ',', 'wrote', 'Walker', ""'s"", 'campaign', 'November', ',', 'according', 'Daily', 'Beast', '.']",33,"['We', 'will', 'your', 'to', 'the', 'to', 'the', 'in', 'for', 'the', 'to', 'in', 'to', 'The']",14,0.3,
Sentence 10,21,"[""Walker's"", 'Federal', 'Election', 'Commission', 'filings', 'show', 'never', 'moved', '$', '535,200', 'super', 'PAC', 'supporting', 'campaign', '.']",15,"['that', 'he', 'the', 'to', 'a', 'his']",6,0.29,
Sentence 11,17,"['Daily', 'Beast', 'noted', ""'s"", 'possible', 'Walker', 'could', 'returned', 'money', 'Washington', '.']",11,"['The', 'that', 'it', 'have', 'the', 'to']",6,0.35,
Sentence 12,24,"['Insider', 'could', 'immediately', 'verify', 'cash', 'sent', 'back', 'Washington', 'still', 'remains', 'Walker', ""'s"", 'account', '.']",14,"['not', 'if', 'the', 'has', 'been', 'to', 'or', 'if', 'it', 'in']",10,0.42,
Sentence 13,23,"['losing', '2022', 'senate', 'run', ',', 'Walker', 'ended', 'campaign', '$', '5', 'million', 'funds', ',', 'NBC', 'reported', '.']",16,"['After', 'his', 'his', 'with', 'more', 'than', 'in']",7,0.3,
Sentence 14,21,"['Representatives', 'Walker', 'Washington', 'immediately', 'respond', 'Insider', ""'s"", 'request', 'comment', 'sent', 'outside', 'regular', 'business', 'hours', '.']",15,"['for', 'and', 'did', 'not', 'to', 'for']",6,0.29,
Sentence 15,2,"['Read', 'next']",2,[],0,0.0,
